author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,house_material_type,year_construction,finishing_type,heating_type,housing_type
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308767405/,Красногорск,sale,flat,14,24,1,41.8,9500000,, Игоря Мерлушкина,10,Аникеевка,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
ГОРОБМЕН,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308109110/,Красногорск,sale,flat,12,26,1,39.0,9500000,,бульвар Ильинский,2А,Пенягино,Павшинская пойма мкрн. 4,Не указано,-1,Не указано,Не указано,Не указано
ИНКОМ-Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/300575043/,Красногорск,sale,flat,5,5,2,43.9,9500000,,Парковая ,1Г,Митино,Лесная сказка,Не указано,-1,Не указано,Не указано,Не указано
Анна Кислюк,realtor,https://krasnogorsk.cian.ru/sale/flat/302085206/,Красногорск,sale,flat,17,26,2,52.0,9500000,,бульвар Космонавтов,5,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
МИЭЛЬ офис Зеленоград,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307472819/,Красногорск,sale,flat,1,3,1,37.1,9500000,,аллея Римского-Корсакова,34,Аникеевка,,Не указано,-1,Не указано,Не указано,Не указано
Сергей Вячеславович Ермаков,realtor,https://krasnogorsk.cian.ru/sale/flat/308631089/,Красногорск,sale,flat,9,10,3,63.2,9500000,, Братьев Горожанкиных,16,Опалиха,,Не указано,-1,Не указано,Не указано,Не указано
LaRichesse,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302883418/,Красногорск,sale,flat,7,24,2,54.2,9500000,,бульвар Космонавтов,17,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Family Estate,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308006467/,Красногорск,sale,flat,9,10,1,51.3,9500000,,Светлая ,9,Опалиха,,Не указано,-1,Не указано,Не указано,Не указано
Юлия Соколова,realtor,https://krasnogorsk.cian.ru/sale/flat/276203142/,Красногорск,sale,flat,5,12,2,54.0,9500000,,бульвар Серебряный,2,Опалиха,Серебрица,Не указано,-1,Не указано,Не указано,Не указано
Премиум,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/301294562/,Красногорск,sale,flat,16,17,2,53.4,9649999,, 50 лет Октября,7б,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
Ольга Морозова,realtor,https://krasnogorsk.cian.ru/sale/flat/308345565/,Красногорск,sale,flat,2,12,1,45.0,9600000,,Заводская ,4,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
ВЫСОТКА,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308577779/,Красногорск,sale,flat,9,14,1,37.8,9600000,, Имени Зверева,4,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Ольга Руснак,realtor,https://krasnogorsk.cian.ru/sale/flat/302732300/,Красногорск,sale,flat,3,12,2,60.0,9600000,, Ткацкой фабрики,23,Аникеевка,,Не указано,-1,Не указано,Не указано,Не указано
Монолит Столица,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/296643404/,Красногорск,sale,flat,2,8,1,31.0,9550000,, Пришвина,14,Опалиха,,Не указано,-1,Не указано,Не указано,Не указано
Валентина Лысова,realtor,https://krasnogorsk.cian.ru/sale/flat/295539839/,Красногорск,sale,flat,3,17,2,48.0,9600000,,бульвар Павшинский,38,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Светлана Бурмина,realtor,https://krasnogorsk.cian.ru/sale/flat/298294876/,Красногорск,sale,flat,2,5,4,58.0,9600000,,Железнодорожная ,26А,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
CENTURY 21 Столичная недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/304202183/,Красногорск,sale,flat,9,9,2,48.9,9650000,,Заводская ,27,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
Простор-недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307983637/,Красногорск,sale,flat,6,7,1,34.4,9700000,, Авангардная,3,Пенягино,ART,Не указано,-1,Не указано,Не указано,Не указано
РЕСКОР,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308747588/,Красногорск,sale,flat,17,17,1,37.9,9700000,,бульвар Подмосковный,6,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Виолетта Ястржембская,realtor,https://krasnogorsk.cian.ru/sale/flat/304397913/,Красногорск,sale,flat,3,15,1,64.7,9700000,,бульвар Павшинский,38,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308557734/,Красногорск,sale,flat,14,17,1,42.0,9700000,,бульвар Павшинский,1,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Елена Лебедева,realtor,https://krasnogorsk.cian.ru/sale/flat/306531518/,Красногорск,sale,flat,19,25,1,37.3,9700000,, Молодежная,4,Пенягино,Молодежный (Красногорск),Не указано,-1,Не указано,Не указано,Не указано
Зимфира Перминова,realtor,https://krasnogorsk.cian.ru/sale/flat/307605935/,Красногорск,sale,flat,6,27,1,40.0,9800000,, Молодежная,4,Пенягино,Молодежный (Красногорск),Не указано,-1,Не указано,Не указано,Не указано
Профессионал Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307271705/,Красногорск,sale,flat,3,16,2,52.0,9800000,,Заводская ,29,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
РИЭЛТ ХАУС,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307864054/,Красногорск,sale,flat,22,24,2,57.5,9800000,, Игоря Мерлушкина,6,Аникеевка,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Адреса,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306594087/,Красногорск,sale,flat,14,14,1,41.9,9800000,,бульвар Ильинский,4,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Александр Колесников,realtor,https://krasnogorsk.cian.ru/sale/flat/306794906/,Красногорск,sale,flat,9,10,3,62.8,9800000,, Братьев Горожанкиных,16,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
Светлана Хрипунова,realtor,https://krasnogorsk.cian.ru/sale/flat/302242394/,Красногорск,sale,flat,1,4,2,70.0,9900000,,Октябрьская ,7,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Московские Огни,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306360878/,Красногорск,sale,flat,32,44,1,31.9,9900000,, Авангардная,6,Пенягино,ART,Не указано,-1,Не указано,Не указано,Не указано
Самолет Плюс Москва ЦАО,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307662171/,Красногорск,sale,flat,2,16,1,42.1,9890000,, Спасская,4,Липовая Роща,,Не указано,-1,Не указано,Не указано,Не указано
Профессионал Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302979467/,Красногорск,sale,flat,2,9,2,50.0,9890000,,Заводская ,27,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
ИНКОМ-Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307753042/,Красногорск,sale,flat,2,3,2,54.0,9900000,,аллея Римского-Корсакова,34,Аникеевка,,Не указано,-1,Не указано,Не указано,Не указано
Владис,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305511710/,Красногорск,sale,flat,7,24,1,48.5,9900000,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
МГСН,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306123976/,Красногорск,sale,flat,15,17,2,50.6,9900000,, Народного Ополчения,2Бк2,Митино,Брусчатый поселок,Не указано,-1,Не указано,Не указано,Не указано
Елена Дудченко,realtor,https://krasnogorsk.cian.ru/sale/flat/306857079/,Красногорск,sale,flat,10,14,2,51.0,9900000,,Железнодорожная ,1а,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Екатерина Кодневская,realtor,https://krasnogorsk.cian.ru/sale/flat/308074020/,Красногорск,sale,flat,17,17,1,38.0,9900000,, Игната Титова,7,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Андрей Березовский,realtor,https://krasnogorsk.cian.ru/sale/flat/306145449/,Красногорск,sale,flat,2,10,2,51.7,9900000,, Дежнева,9,Опалиха,,Не указано,-1,Не указано,Не указано,Не указано
Евгения Москвина,realtor,https://krasnogorsk.cian.ru/sale/flat/308307216/,Красногорск,sale,flat,7,8,1,35.0,10000000,, Пришвина,7,Опалиха,Опалиха О3,Не указано,-1,Не указано,Не указано,Не указано
Иннокентий Манякин,realtor,https://krasnogorsk.cian.ru/sale/flat/305244946/,Красногорск,sale,flat,24,33,1,41.6,10000000,, Липовой Рощи,1к2,Строгино,Sky Sputnik,Не указано,-1,Не указано,Не указано,Не указано
CENTURY21 Союз,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307057144/,Красногорск,sale,flat,17,43,2,37.4,9950000,, Авангардная,6,Пенягино,ART,Не указано,-1,Не указано,Не указано,Не указано
ГОРОДА,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306281866/,Красногорск,sale,flat,9,9,3,58.4,10000000,, Ленина,15,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
ИНКОМ-Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306570948/,Красногорск,sale,flat,3,4,3,66.0,9950000,, Чайковского,11,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
ССК Риэлти,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/300346612/,Красногорск,sale,flat,2,24,2,42.2,10000000,, Игоря Мерлушкина,12,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Монолит Столица,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308113214/,Красногорск,sale,flat,5,17,1,53.0,10000000,, Жуковского,11,Павшино,Grand Hills,Не указано,-1,Не указано,Не указано,Не указано
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308253075/,Красногорск,sale,flat,2,24,2,42.2,10000000,, Игоря Мерлушкина,12,Аникеевка,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Светлана Бурмина,realtor,https://krasnogorsk.cian.ru/sale/flat/290224236/,Красногорск,sale,flat,2,9,3,69.0,9990000,,Железнодорожная ,9,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Замоскворечье,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307253131/,Красногорск,sale,flat,7,24,1,49.0,10000000,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
KOSTA CO,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/303806936/,Красногорск,sale,flat,3,5,3,54.9,10000000,, Циолковского,18,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
МРИЭЛТОР - офис Отрадное,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308945196/,Красногорск,sale,flat,8,15,2,65.3,10200000,,бульвар Павшинский,38,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Sunrise,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307606104/,Красногорск,sale,flat,10,12,1,43.0,10200000,, Школьная,6,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Ла Терра,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302404089/,Красногорск,sale,flat,2,6,1,40.6,10200000,,аллея Золотая,4,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
Виктория Леонова,realtor,https://krasnogorsk.cian.ru/sale/flat/306302151/,Красногорск,sale,flat,18,25,2,63.0,10200000,,бульвар Космонавтов,8,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Ирина Лискина,realtor,https://krasnogorsk.cian.ru/sale/flat/308737467/,Красногорск,sale,flat,8,17,1,43.0,10300000,,бульвар Красногорский,19,Мякинино,,Не указано,-1,Не указано,Не указано,Не указано
Лариса Александрова,realtor,https://krasnogorsk.cian.ru/sale/flat/307264113/,Красногорск,sale,flat,6,44,2,43.0,10300000,, Авангардная,2,Пенягино,ART,Не указано,-1,Не указано,Не указано,Не указано
Анастасия Шульман,realtor,https://krasnogorsk.cian.ru/sale/flat/307635812/,Красногорск,sale,flat,5,9,2,52.8,10290000,, Дежнева,9,Опалиха,,Не указано,-1,Не указано,Не указано,Не указано
Простор-недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308630834/,Красногорск,sale,flat,14,16,1,42.43,10300000,, Спасская,4,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Владис,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/300573337/,Красногорск,sale,flat,8,25,1,50.0,10250000,, Вилора Трифонова,1,Опалиха,,Не указано,-1,Не указано,Не указано,Не указано
ИНКОМ-Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307104883/,Красногорск,sale,flat,5,45,1,31.9,10300000,, Авангардная,2,Пенягино,ART,Не указано,-1,Не указано,Не указано,Не указано
Ла Терра,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/304464930/,Красногорск,sale,flat,2,6,2,51.8,10250000,,аллея Золотая,4,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
Dream Realty,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307632450/,Красногорск,sale,flat,5,6,1,51.0,10250000,,аллея Золотая,2,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
Лилия Юша,realtor,https://krasnogorsk.cian.ru/sale/flat/306413467/,Красногорск,sale,flat,6,16,2,53.4,10250000,, Вилора Трифонова,6,Опалиха,,Не указано,-1,Не указано,Не указано,Не указано
Олеся Захарова,realtor,https://krasnogorsk.cian.ru/sale/flat/301087531/,Красногорск,sale,flat,21,25,2,55.4,10269000,,бульвар Космонавтов,7,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Городской Центр Недвижимости,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/299185647/,Красногорск,sale,flat,4,4,2,71.8,10280000,,Октябрьская ,7,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Александр Шлемин,realtor,https://krasnogorsk.cian.ru/sale/flat/300430091/,Красногорск,sale,flat,10,10,3,64.0,10300000,, Братьев Горожанкиных,6,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
Простор-недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308282829/,Красногорск,sale,flat,11,24,2,31.18,10390000,,,к2,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307574563/,Красногорск,sale,flat,15,25,1,39.0,10400000,,бульвар Красногорский,6,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308107579/,Красногорск,sale,flat,14,22,1,50.0,10350000,,бульвар Подмосковный,11,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Людмила Карпухина,realtor,https://krasnogorsk.cian.ru/sale/flat/295374761/,Красногорск,sale,flat,9,9,3,60.0,10400000,, Школьная,14,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307277794/,Красногорск,sale,flat,42,45,1,46.6,10500000,, Авангардная,10,Пенягино,ART,Не указано,-1,Не указано,Не указано,Не указано
ЕГСН Продажа,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/303765383/,Красногорск,sale,flat,3,14,2,53.0,10500000,,Оптический проезд,16,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308354138/,Красногорск,sale,flat,22,45,1,36.6,10500000,, Авангардная,10,Пенягино,ART,Не указано,-1,Не указано,Не указано,Не указано
Владис,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305595805/,Красногорск,sale,flat,16,25,2,54.0,10500000,,бульвар Космонавтов,8,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Геометрия,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/296817494/,Красногорск,sale,flat,15,25,2,57.6,10499000,,бульвар Космонавтов,13,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
DomLex,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/291279121/,Красногорск,sale,flat,13,16,1,50.0,10500000,,бульвар Павшинский,20,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Голдвин Груп,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307442118/,Красногорск,sale,flat,4,25,1,39.4,10500000,,бульвар Красногорский,10,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
ГОД-Риэлти,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/303434172/,Красногорск,sale,flat,9,10,3,62.7,10500000,, Ленина,30,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
Людмила Тырлышкина,realtor,https://krasnogorsk.cian.ru/sale/flat/300508233/,Красногорск,sale,flat,8,17,1,42.0,10450000,, Спасская,8,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Анна Богатырева,realtor,https://krasnogorsk.cian.ru/sale/flat/301684378/,Красногорск,sale,flat,11,17,1,49.9,10500000,,бульвар Красногорский,11,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
1ДАН Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308884443/,Красногорск,sale,flat,13,17,1,45.1,10600000,, Спасская,1к2,Пенягино,Спасский Мост,Не указано,-1,Не указано,Не указано,Не указано
Екатерина Юшина,realtor,https://krasnogorsk.cian.ru/sale/flat/308833380/,Красногорск,sale,flat,7,10,3,63.9,10550000,, Ленина,38,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
Макромир,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302599019/,Красногорск,sale,flat,19,25,2,54.0,10700000,,бульвар Космонавтов,7,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
ИНКОМ-Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/301267912/,Красногорск,sale,flat,14,17,1,49.9,10700000,,бульвар Красногорский,11,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Владис,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306774265/,Красногорск,sale,flat,3,25,2,52.0,10700000,, Игоря Мерлушкина,2,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Екатерина Яловецкая,realtor,https://krasnogorsk.cian.ru/sale/flat/308344590/,Красногорск,sale,flat,8,8,2,45.6,10700000,, Пришвина,5,Опалиха,Опалиха О3,Не указано,-1,Не указано,Не указано,Не указано
Владис,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307101077/,Красногорск,sale,flat,13,24,1,46.5,10800000,, Игоря Мерлушкина,12,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Галина Ротару,realtor,https://krasnogorsk.cian.ru/sale/flat/294995027/,Красногорск,sale,flat,15,17,2,73.2,10800000,,Успенская ,24,Опалиха,,Не указано,-1,Не указано,Не указано,Не указано
Сергей Гризодуб,realtor,https://krasnogorsk.cian.ru/sale/flat/308646327/,Красногорск,sale,flat,3,8,1,40.5,10800000,,бульвар Серебряный,3,Опалиха,Серебрица,Не указано,-1,Не указано,Не указано,Не указано
ИП Шакарян Э.А.,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305468057/,Красногорск,sale,flat,2,6,2,58.4,10800000,,Новая Московская ,49,Опалиха,,Не указано,-1,Не указано,Не указано,Не указано
Игорь Повереный,realtor,https://krasnogorsk.cian.ru/sale/flat/308367232/,Красногорск,sale,flat,16,16,2,53.1,10800000,,переулок Оптический,3к1,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Керим Керимов,realtor,https://krasnogorsk.cian.ru/sale/flat/308017184/,Красногорск,sale,flat,3,19,1,37.3,10750000,,бульвар Красногорский,23к3,Мякинино,Спасский Мост,Не указано,-1,Не указано,Не указано,Не указано
Наталья Счётчикова,realtor,https://krasnogorsk.cian.ru/sale/flat/307540526/,Красногорск,sale,flat,3,9,1,61.3,10800000,,бульвар Павшинский,40,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Контакт Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308122974/,Красногорск,sale,flat,21,26,2,58.0,10900000,,бульвар Космонавтов,11,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
CENTURY 21 Столичная недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308935494/,Красногорск,sale,flat,3,24,2,66.8,10900000,, Игоря Мерлушкина,6,Аникеевка,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Владис,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/304972612/,Красногорск,sale,flat,2,10,3,79.7,10950000,,Светлая ,10,Опалиха,,Не указано,-1,Не указано,Не указано,Не указано
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/308938661/,Одинцово,sale,flat,9,24,2,48.24,-1,,,,Одинцово,Одинбург,Не указано,-1,Не указано,Не указано,Не указано
Ирина Василевская,realtor,https://odintsovo.cian.ru/sale/flat/302359205/,Одинцово,sale,flat,7,17,3,74.8,12300000,, Чистяковой,2,Сколково,,Не указано,-1,Не указано,Не указано,Не указано
Анна Гаджиева,realtor,https://odintsovo.cian.ru/sale/flat/308862752/,Одинцово,sale,flat,7,20,2,46.0,8800000,, Белорусская,3,Одинцово,Одинцовский Парк,Не указано,-1,Не указано,Не указано,Не указано
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/308938596/,Одинцово,sale,flat,2,24,1,36.3,-1,,,,Одинцово,Одинбург,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://odintsovo.cian.ru/sale/flat/306231452/,Одинцово,sale,flat,9,25,1,28.5,6150000,,Вокзальная ,31А,Одинцово,Сердце Одинцово,Не указано,-1,Не указано,Не указано,Не указано
Ваши Соседи Торги,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308064557/,Одинцово,sale,flat,10,20,1,37.1,5850000,, Кутузовская,3,Сколково,,Не указано,-1,Не указано,Не указано,Не указано
Вектор,developer,https://odintsovo.cian.ru/sale/flat/305609500/,Одинцово,sale,flat,4,19,2,55.0,11570000,,,,Одинцово,Союзный ЖК,Не указано,-1,Не указано,Не указано,Не указано
NIKA ESTATE,real_estate_agent,https://odintsovo.cian.ru/sale/flat/301706311/,Одинцово,sale,flat,15,25,3,89.0,22100000,,,5А мкр,Баковка,,Не указано,-1,Не указано,Не указано,Не указано
CENTURY 21 Столичная недвижимость,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308783096/,Одинцово,sale,flat,17,24,1,44.7,7400000,, Чистяковой,,Сколково,,Не указано,-1,Не указано,Не указано,Не указано
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/296622656/,Одинцово,sale,flat,2,24,3,51.93,-1,,,,Одинцово,Одинбург,Не указано,-1,Не указано,Не указано,Не указано
Villagio Realty,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308633315/,Одинцово,sale,flat,14,17,3,92.3,21900000,, Сколковская,7Б,Сколково,Сколковский,Не указано,-1,Не указано,Не указано,Не указано
МИР СН,real_estate_agent,https://odintsovo.cian.ru/sale/flat/303472026/,Одинцово,sale,flat,4,4,1,35.0,5000000,,Молодежная ,1Б,Одинцово,,Не указано,-1,Не указано,Не указано,Не указано
Вектор,developer,https://odintsovo.cian.ru/sale/flat/305609586/,Одинцово,sale,flat,2,19,1,40.0,8610000,,,,Одинцово,Союзный ЖК,Не указано,-1,Не указано,Не указано,Не указано
Метражи group,real_estate_agent,https://odintsovo.cian.ru/sale/flat/302340018/,Одинцово,sale,flat,10,24,1,23.0,6500000,,Северная ,5к2,Одинцово,Одинбург,Не указано,-1,Не указано,Не указано,Не указано
ID 123354674,homeowner,https://odintsovo.cian.ru/sale/flat/308812802/,Одинцово,sale,flat,17,24,1,44.1,8000000,, Чистяковой,16,Сколково,,Не указано,-1,Не указано,Не указано,Не указано
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/308938548/,Одинцово,sale,flat,2,24,1,24.79,-1,,,,Одинцово,Одинбург,Не указано,-1,Не указано,Не указано,Не указано
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://odintsovo.cian.ru/sale/flat/304858155/,Одинцово,sale,flat,10,24,1,39.0,7200000,,Северная ,5к2,Одинцово,Одинбург,Не указано,-1,Не указано,Не указано,Не указано
ГОРОБМЕН,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308742516/,Одинцово,sale,flat,11,20,2,55.7,9600000,, Кутузовская,3,Сколково,,Не указано,-1,Не указано,Не указано,Не указано
Вектор,developer,https://odintsovo.cian.ru/sale/flat/306946484/,Одинцово,sale,flat,22,25,3,88.0,16935000,,,,Одинцово,Союзный ЖК,Не указано,-1,Не указано,Не указано,Не указано
ЦЕНТРЭКСПЕРТ,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308981149/,Одинцово,sale,flat,7,9,1,33.1,7650000,,Комсомольская ,16к3,Одинцово,,Не указано,-1,Не указано,Не указано,Не указано
ID 91770809,homeowner,https://odintsovo.cian.ru/sale/flat/308794816/,Одинцово,sale,flat,4,5,1,29.8,5750000,,Можайское шоссе,23,Одинцово,,Не указано,-1,Не указано,Не указано,Не указано
Вектор,developer,https://odintsovo.cian.ru/sale/flat/308015986/,Одинцово,sale,flat,6,19,1,27.1,8248000,,,,Одинцово,Союзный ЖК,Не указано,-1,Не указано,Не указано,Не указано
ХОРЕКА ИНВЕСТ,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308253115/,Одинцово,sale,flat,3,17,1,22.58,5120918,, Чистяковой,8с2,Сколково,Гостиничный комплекс Аметист,Не указано,-1,Не указано,Не указано,Не указано
Татьяна Ростова,realtor,https://odintsovo.cian.ru/sale/flat/303136193/,Одинцово,sale,flat,5,9,1,31.0,6500000,,Можайское шоссе,24,Одинцово,,Не указано,-1,Не указано,Не указано,Не указано
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/308938542/,Одинцово,sale,flat,2,24,4,82.78,-1,,,,Одинцово,Одинбург,Не указано,-1,Не указано,Не указано,Не указано
Homeapp,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308305656/,Одинцово,sale,flat,14,25,2,49.8,10990000,, Каштановая,6,Внуково,Одинцово-1,Не указано,-1,Не указано,Не указано,Не указано
SRG,real_estate_agent,https://odintsovo.cian.ru/sale/flat/306666312/,Одинцово,sale,flat,11,14,1,38.1,7200000,, Маршала Неделина,13,Одинцово,,Не указано,-1,Не указано,Не указано,Не указано
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/308938190/,Одинцово,sale,flat,9,22,1,41.49,-1,,,,Одинцово,Одинбург ЖК,Не указано,-1,Не указано,Не указано,Не указано
Марина Захарченко,realtor,https://odintsovo.cian.ru/sale/flat/305095782/,Одинцово,sale,flat,14,28,3,98.8,28800000,,Можайское шоссе,122,Баковка,Да Винчи,Не указано,-1,Не указано,Не указано,Не указано
